date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
18861125,USA,Canada,3,2,Friendly,Newark,USA,FALSE
18870205,England,Northern Ireland,7,0,British Championship,Sheffield,England,FALSE
18870219,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,FALSE
18870226,England,Wales,4,0,British Championship,London,England,FALSE
18870312,Northern Ireland,Wales,4,1,British Championship,Belfast,Ireland,FALSE
18870319,England,Scotland,2,3,British Championship,Blackburn,England,FALSE
18870321,Wales,Scotland,0,2,British Championship,Wrexham,Wales,FALSE
18880204,England,Wales,5,1,British Championship,Crewe,England,FALSE
18880303,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,FALSE
18880310,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,FALSE
18880317,Scotland,England,0,5,British Championship,Glasgow,Scotland,FALSE
18880324,Northern Ireland,Scotland,2,10,British Championship,Belfast,Ireland,FALSE
18880407,Northern Ireland,England,1,5,British Championship,Belfast,Ireland,FALSE
18880919,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,FALSE
18890223,England,Wales,4,1,British Championship,Stoke-on-Trent,England,FALSE
18890302,England,Northern Ireland,6,1,British Championship,Liverpool,England,FALSE
18890309,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,FALSE
18890413,England,Scotland,2,3,British Championship,London,England,FALSE
18890415,Wales,Scotland,0,0,British Championship,Wrexham,Wales,FALSE
18890427,Northern Ireland,Wales,1,3,British Championship,Belfast,Ireland,FALSE
18900208,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,TRUE
18900315,Northern Ireland,England,1,9,British Championship,Belfast,Ireland,FALSE
18900315,Wales,England,1,3,British Championship,Wrexham,Wales,FALSE
18900322,Scotland,Wales,5,0,British Championship,Paisley,Scotland,FALSE
18900329,Northern Ireland,Scotland,1,4,British Championship,Belfast,Ireland,FALSE
18900405,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE
18910207,Northern Ireland,Wales,7,2,British Championship,Belfast,Ireland,FALSE
18910307,England,Wales,4,1,British Championship,Sunderland,England,FALSE
18910307,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,FALSE
18910321,Wales,Scotland,3,4,British Championship,Wrexham,Wales,FALSE
18910328,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,FALSE
18920227,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,FALSE
18920305,Northern Ireland,England,0,2,British Championship,Belfast,Ireland,FALSE
18920305,Wales,England,0,2,British Championship,Wrexham,Wales,FALSE
18920319,Northern Ireland,Scotland,2,3,British Championship,Belfast,Ireland,FALSE
18920326,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,FALSE
18920402,Scotland,England,1,4,British Championship,Glasgow,Scotland,FALSE
18930225,England,Northern Ireland,6,1,British Championship,Birmingham,England,FALSE
18930313,England,Wales,6,0,British Championship,Stoke-on-Trent,England,FALSE
18930318,Wales,Scotland,0,8,British Championship,Wrexham,Wales,FALSE
18930325,Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,FALSE
18930401,England,Scotland,5,2,British Championship,Richmond,England,FALSE
18940224,Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,FALSE
18940303,Northern Ireland,England,2,2,British Championship,Belfast,Ireland,FALSE
18940312,Wales,England,1,5,British Championship,Wrexham,Wales,FALSE
18940324,Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,FALSE
18940331,Northern Ireland,Scotland,1,2,British Championship,Belfast,Ireland,FALSE
18940407,Scotland,England,2,2,British Championship,Glasgow,Scotland,FALSE
18950309,England,Northern Ireland,9,0,British Championship,Derby,England,FALSE
18950316,Northern Ireland,Wales,2,2,British Championship,Belfast,Ireland,FALSE
18950318,England,Wales,1,1,British Championship,London,England,FALSE
18950323,Wales,Scotland,2,2,British Championship,Wrexham,Wales,FALSE
18950330,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,FALSE
18950406,England,Scotland,3,0,British Championship,Liverpool,England,FALSE
18960229,Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,FALSE
18960307,Northern Ireland,England,0,2,British Championship,Belfast,Ireland,FALSE
18960316,Wales,England,1,9,British Championship,Cardiff,Wales,FALSE
18960321,Scotland,Wales,4,0,British Championship,Dundee,Scotland,FALSE
18960328,Northern Ireland,Scotland,3,3,British Championship,Belfast,Ireland,FALSE
18960404,Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE
18970220,England,Northern Ireland,6,0,British Championship,Nottingham,England,FALSE
18970306,Northern Ireland,Wales,4,3,British Championship,Belfast,Ireland,FALSE
18970320,Wales,Scotland,2,2,British Championship,Wrexham,Wales,FALSE
18970327,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,FALSE
18970329,England,Wales,4,0,British Championship,Sheffield,England,FALSE
18970403,England,Scotland,1,2,British Championship,London,England,FALSE
18980219,Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,FALSE
18980305,Northern Ireland,England,2,3,British Championship,Belfast,Ireland,FALSE
18980319,Scotland,Wales,5,2,British Championship,Motherwell,Scotland,FALSE
18980326,Northern Ireland,Scotland,0,3,British Championship,Belfast,Ireland,FALSE
18980328,Wales,England,0,3,British Championship,Wrexham,Wales,FALSE
18980402,Scotland,England,1,3,British Championship,Glasgow,Scotland,FALSE
18990218,England,Northern Ireland,13,2,British Championship,Sunderland,England,FALSE
18990304,Northern Ireland,Wales,1,0,British Championship,Belfast,Ireland,FALSE
18990318,Wales,Scotland,0,6,British Championship,Wrexham,Wales,FALSE
18990320,England,Wales,4,0,British Championship,Bristol,England,FALSE
18990325,Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,FALSE
18990408,England,Scotland,2,1,British Championship,Birmingham,England,FALSE
19000203,Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,FALSE
19000224,Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,FALSE
19000303,Northern Ireland,Scotland,0,3,British Championship,Belfast,Ireland,FALSE
19000317,Northern Ireland,England,0,2,British Championship,Dublin,Ireland,FALSE
19000326,Wales,England,1,1,British Championship,Cardiff,Wales,FALSE
19000407,Scotland,England,4,1,British Championship,Glasgow,Scotland,FALSE
19010223,Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,FALSE
19010302,Wales,Scotland,1,1,British Championship,Wrexham,Wales,FALSE
19010309,England,Northern Ireland,3,0,British Championship,Southampton,England,FALSE
19010318,England,Wales,6,0,British Championship,Newcastle,England,FALSE
19010323,Northern Ireland,Wales,0,1,British Championship,Belfast,Ireland,FALSE
19010330,England,Scotland,2,2,British Championship,London,England,FALSE
19020222,Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales,FALSE
19020301,Northern Ireland,Scotland,1,5,British Championship,Belfast,Ireland,FALSE
19020303,Wales,England,0,0,British Championship,Wrexham,Wales,FALSE
19020315,Scotland,Wales,5,1,British Championship,Greenock,Scotland,FALSE
19020322,Northern Ireland,England,0,1,British Championship,Belfast,Ireland,FALSE
19020503,England,Scotland,2,2,British Championship,Birmingham,England,FALSE
19020720,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,FALSE
19021012,Austria,Hungary,5,0,Friendly,Vienna,Austria,FALSE
19030302,England,Wales,2,1,British Championship,Portsmouth,England,FALSE
19030309,Wales,Scotland,0,1,British Championship,Cardiff,Wales,FALSE
19030321,Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,FALSE
19030328,Northern Ireland,Wales,2,0,British Championship,Belfast,Ireland,FALSE
19030404,England,Scotland,1,2,British Championship,Sheffield,England,FALSE
19030405,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,FALSE
19030913,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,FALSE
19031011,Austria,Hungary,4,2,Friendly,Vienna,Austria,FALSE
19040229,Wales,England,2,2,British Championship,Wrexham,Wales,FALSE
19040312,Northern Ireland,England,1,3,British Championship,Belfast,Ireland,FALSE
19040312,Scotland,Wales,1,1,British Championship,Dundee,Scotland,FALSE
19040321,Wales,Northern Ireland,0,1,British Championship,Bangor,Wales,FALSE
19040326,Northern Ireland,Scotland,1,1,British Championship,Dublin,Ireland,FALSE
19040409,Scotland,England,0,1,British Championship,Glasgow,Scotland,FALSE
19040501,Belgium,France,3,3,Friendly,Brussels,Belgium,FALSE
19040602,Hungary,Austria,3,0,Friendly,Budapest,Hungary,FALSE
19050212,France,Switzerland,1,0,Friendly,Paris,France,FALSE
19050225,England,Northern Ireland,1,1,British Championship,Middlesbrough,England,FALSE
19050306,Wales,Scotland,3,1,British Championship,Wrexham,Wales,FALSE
19050318,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,FALSE
19050327,England,Wales,3,1,British Championship,Liverpool,England,FALSE
19050401,England,Scotland,1,0,British Championship,London,England,FALSE
19050408,Northern Ireland,Wales,2,2,British Championship,Belfast,Ireland,FALSE
19050409,Hungary,Austria,0,0,Friendly,Budapest,Hungary,FALSE
19050430,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE
19050507,Belgium,France,7,0,Friendly,Brussels,Belgium,FALSE
19050514,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,FALSE
19050815,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,FALSE
19060217,Northern Ireland,England,0,5,British Championship,Belfast,Ireland,FALSE
19060303,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,FALSE
19060317,Northern Ireland,Scotland,0,1,British Championship,Dublin,Ireland,FALSE
19060319,Wales,England,0,1,British Championship,Cardiff,Wales,FALSE
19060401,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,FALSE
19060402,Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales,FALSE
19060407,Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE
19060422,France,Belgium,0,5,Friendly,Saint-Cloud,France,FALSE
19060429,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,FALSE
19060513,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,FALSE
19060815,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,FALSE
19061007,Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia,FALSE
19061021,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE
19061104,Hungary,Austria,3,1,Friendly,Budapest,Hungary,FALSE
19070216,England,Northern Ireland,1,0,British Championship,Liverpool,England,FALSE
19070223,Northern Ireland,Wales,2,3,British Championship,Belfast,Ireland,FALSE
19070304,Wales,Scotland,1,0,British Championship,Wrexham,Wales,FALSE
19070316,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,FALSE
19070318,England,Wales,1,1,British Championship,London,England,FALSE
19070406,England,Scotland,1,1,British Championship,Newcastle,England,FALSE
19070407,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,FALSE
19070414,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,FALSE
19070421,Belgium,France,1,2,Friendly,Brussels,Belgium,FALSE
19070505,Austria,Hungary,3,1,Friendly,Vienna,Austria,FALSE
19070509,Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,FALSE
19071006,Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,FALSE
19071103,Hungary,Austria,4,1,Friendly,Budapest,Hungary,FALSE
19080215,Northern Ireland,England,1,3,British Championship,Belfast,Ireland,FALSE
19080307,Scotland,Wales,2,1,British Championship,Dundee,Scotland,FALSE
19080308,Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE
19080314,Northern Ireland,Scotland,0,5,British Championship,Dublin,Ireland,FALSE
19080316,Wales,England,1,7,British Championship,Wrexham,Wales,FALSE
19080329,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE
19080404,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE
19080405,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,FALSE
19080405,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,FALSE
19080411,Wales,Northern Ireland,0,1,British Championship,Aberdare,Wales,FALSE
19080412,France,Belgium,1,2,Friendly,Colombes,France,FALSE
19080426,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,FALSE
19080503,Austria,Hungary,4,0,Friendly,Vienna,Austria,FALSE
19080510,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,FALSE
19080606,Austria,England,1,6,Friendly,Vienna,Austria,FALSE
19080607,Austria,Germany,3,2,Friendly,Vienna,Austria,FALSE
19080608,Austria,England,1,11,Friendly,Vienna,Austria,FALSE
19080610,Hungary,England,0,7,Friendly,Budapest,Hungary,FALSE
19080613,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,FALSE
19080712,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,FALSE
19080815,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,FALSE
19080913,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,FALSE
19081004,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19081025,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,FALSE
19081026,Belgium,Sweden,2,1,Friendly,Brussels,Belgium,FALSE
19081101,Hungary,Austria,5,3,Friendly,Budapest,Hungary,FALSE
19090213,England,Northern Ireland,4,0,British Championship,Bradford,England,FALSE
19090301,Wales,Scotland,3,2,British Championship,Wrexham,Wales,FALSE
19090315,England,Wales,2,0,British Championship,Nottingham,England,FALSE
19090315,Scotland,Northern Ireland,5,0,British Championship,Glasgow,Scotland,FALSE
19090320,Northern Ireland,Wales,2,3,British Championship,Belfast,Ireland,FALSE
19090321,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,FALSE
19090403,England,Scotland,2,0,British Championship,London,England,FALSE
19090404,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,FALSE
19090404,Hungary,Germany,3,3,Friendly,Budapest,Hungary,FALSE
19090425,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,FALSE
19090502,Austria,Hungary,3,4,Friendly,Vienna,Austria,FALSE
19090509,Belgium,France,5,2,Friendly,Brussels,Belgium,FALSE
19090529,Hungary,England,2,4,Friendly,Budapest,Hungary,FALSE
19090530,Hungary,Austria,1,1,Friendly,Budapest,Hungary,FALSE
19090531,Hungary,England,2,8,Friendly,Budapest,Hungary,FALSE
19090601,Austria,England,1,8,Friendly,Vienna,Austria,FALSE
19090815,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,FALSE
19090919,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,FALSE
19091010,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19100212,Northern Ireland,England,1,1,British Championship,Belfast,Ireland,FALSE
19100305,Scotland,Wales,1,0,British Championship,Kilmarnock,Scotland,FALSE
19100313,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,FALSE
19100314,Wales,England,0,1,British Championship,Cardiff,Wales,FALSE
19100319,Northern Ireland,Scotland,1,0,British Championship,Belfast,Ireland,FALSE
19100402,Scotland,England,2,0,British Championship,Glasgow,Scotland,FALSE
19100403,France,Belgium,0,4,Friendly,Gentilly,France,FALSE
19100403,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,FALSE
19100410,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,FALSE
19100411,Wales,Northern Ireland,4,1,British Championship,Wrexham,Wales,FALSE
19100424,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,FALSE
19100501,Austria,Hungary,2,1,Friendly,Vienna,Austria,FALSE
19100515,Italy,France,6,2,Friendly,Milan,Italy,FALSE
19100516,Germany,Belgium,0,3,Friendly,Duisburg,Germany,FALSE
19100526,Hungary,Italy,6,1,Friendly,Budapest,Hungary,FALSE
19100527,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,FALSE
19100529,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,TRUE
19100605,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,FALSE
19100612,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,FALSE
19100815,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,FALSE
19100911,Chile,Argentina,0,3,Friendly,Vina del Mar,Chile,FALSE
19100911,Norway,Sweden,0,4,Friendly,Kristiania,Norway,FALSE
19101016,Germany,Netherlands,1,2,Friendly,Kleve,Germany,FALSE
19101106,Hungary,Austria,3,0,Friendly,Budapest,Hungary,FALSE
19101113,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19101127,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19110101,France,Hungary,0,3,Friendly,Maisons-Alfort,France,FALSE
19110106,Italy,Hungary,0,1,Friendly,Milan,Italy,FALSE
19110108,Switzerland,Hungary,2,0,Friendly,Zurich,Switzerland,FALSE
19110128,Northern Ireland,Wales,1,2,British Championship,Belfast,Ireland,FALSE
19110211,England,Northern Ireland,2,1,British Championship,Derby,England,FALSE
19110306,Wales,Scotland,2,2,British Championship,Cardiff,Wales,FALSE
19110313,England,Wales,3,0,British Championship,London,England,FALSE
19110318,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,FALSE
19110319,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,FALSE
19110326,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,FALSE
19110401,England,Scotland,1,1,British Championship,Liverpool,England,FALSE
19110402,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,FALSE
19110409,France,Italy,2,2,Friendly,Saint-Ouen,France,FALSE
19110423,Belgium,Germany,2,1,Friendly,Liege,Belgium,FALSE
19110423,Switzerland,France,5,2,Friendly,Geneva,Switzerland,FALSE
19110430,Belgium,France,7,1,Friendly,Uccle,Belgium,FALSE
19110507,Austria,Hungary,3,1,Friendly,Vienna,Austria,FALSE
19110507,Italy,Switzerland,2,2,Friendly,Milan,Italy,FALSE
19110521,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,FALSE
19110618,Sweden,Germany,2,4,Friendly,Solna,Sweden,FALSE
19110815,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,FALSE
19110917,Sweden,Norway,4,1,Friendly,Solna,Sweden,FALSE
19110917,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,FALSE
19111008,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE
19111009,Germany,Austria,1,2,Friendly,Dresden,Germany,FALSE
19111022,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19111022,Finland,Sweden,2,5,Friendly,Helsinki,Finland,FALSE
19111029,Germany,Sweden,1,3,Friendly,Hamburg,Germany,FALSE
19111029,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,FALSE
19111029,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,FALSE
19111029,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE
19111105,Hungary,Austria,2,0,Friendly,Budapest,Hungary,FALSE
19111217,Germany,Hungary,1,4,Friendly,Munich,Germany,FALSE
19120128,France,Belgium,1,1,Friendly,Saint-Ouen,France,FALSE
19120210,Northern Ireland,England,1,6,British Championship,Dublin,Ireland,FALSE
19120218,France,Switzerland,4,1,Friendly,Saint-Ouen,France,FALSE
19120220,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,FALSE
19120302,Scotland,Wales,1,0,British Championship,Edinburgh,Scotland,FALSE
19120310,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,FALSE
19120311,Wales,England,0,2,British Championship,Wrexham,Wales,FALSE
19120316,Northern Ireland,Scotland,1,4,British Championship,Belfast,Ireland,FALSE
19120317,Italy,France,3,4,Friendly,Turin,Italy,FALSE
19120323,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE
19120324,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,FALSE
19120413,Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales,FALSE
19120414,Hungary,Germany,4,4,Friendly,Budapest,Hungary,FALSE
19120428,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,FALSE
19120505,Austria,Hungary,1,1,Friendly,Vienna,Austria,FALSE
19120505,Switzerland,Germany,1,2,Friendly,Sankt Gallen,Switzerland,FALSE
19120616,Norway,Sweden,1,2,Friendly,Kristiania,Norway,FALSE
19120620,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,FALSE
19120623,Norway,Hungary,0,6,Friendly,Kristiania,Norway,FALSE
19120627,Sweden,Finland,7,1,Friendly,Solna,Sweden,FALSE
19120703,Norway,Russia,2,1,Friendly,Stockholm,Sweden,TRUE
19120712,Russia,Hungary,0,9,Friendly,Moscow,Russia,FALSE
19120714,Russia,Hungary,0,12,Friendly,Moscow,Russia,FALSE
19120815,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,FALSE
19120825,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE
19120922,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19121006,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,FALSE
19121006,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,FALSE
19121103,Hungary,Austria,4,0,Friendly,Budapest,Hungary,FALSE
19121103,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,FALSE
19121117,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,FALSE
19121201,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,FALSE
19121222,Italy,Austria,1,3,Friendly,Genoa,Italy,FALSE
19130112,France,Italy,1,0,Friendly,Saint-Ouen,France,FALSE
19130118,Northern Ireland,Wales,0,1,British Championship,Belfast,Ireland,FALSE
19130215,Northern Ireland,England,2,1,British Championship,Belfast,Ireland,FALSE
19130216,Belgium,France,3,0,Friendly,Brussels,Belgium,FALSE
19130303,Wales,Scotland,0,0,British Championship,Wrexham,Wales,FALSE
19130309,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,FALSE
19130309,Switzerland,France,1,4,Friendly,Geneva,Switzerland,FALSE
19130315,Northern Ireland,Scotland,1,2,British Championship,Dublin,Ireland,FALSE
19130317,England,Wales,4,3,British Championship,Bristol,England,FALSE
19130405,England,Scotland,1,0,British Championship,London,England,FALSE
19130420,France,Luxembourg,8,0,Friendly,Saint-Ouen,France,FALSE
19130420,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,FALSE
19130427,Austria,Hungary,1,4,Friendly,Vienna,Austria,FALSE
19130501,Italy,Belgium,1,0,Friendly,Turin,Italy,FALSE
19130504,Russia,Sweden,1,4,Friendly,Moscow,Russia,FALSE
19130504,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,FALSE
19130518,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,FALSE
19130518,Hungary,Sweden,2,0,Friendly,Budapest,Hungary,FALSE
19130525,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,FALSE
19130608,Sweden,Norway,9,0,Friendly,Stockholm,Sweden,FALSE
19130615,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,FALSE
19130615,Austria,Italy,2,0,Friendly,Vienna,Austria,FALSE
19130709,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,FALSE
19130815,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,FALSE
19130831,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,FALSE
19130914,Russia,Norway,1,1,Friendly,Moscow,Russia,FALSE
19130921,Chile,Argentina,0,2,Friendly,Vina del Mar,Chile,FALSE
19131005,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,FALSE
19131005,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,FALSE
19131026,Germany,Denmark,1,4,Friendly,Hamburg,Germany,FALSE
